,Address,City,Grocery Store,Houston Lat,Houston Lng,San An Lat,San An Lng
0,802 Milam St,Houston,Just Poppin Popcorn,29.759347,-95.365563,29.424882,-98.492893
1,1130 Travis St,Houston,Travis Food Store,29.756416,-95.36665,29.424694,-98.492108
2,914 Main St,Houston,Amogh Gelato Blue,29.758485,-95.363798,29.424436,-98.4911
3,930 Main St,Houston,Rico,29.758485,-95.363798,29.421034,-98.493672
4,1001 Texas St,Houston,Binz 1001 Texas Ave,29.759717,-95.362164,29.425664,-98.499453
5,1101 Main St,Houston,Main Food Store,29.754684,-95.366637,29.425726,-98.50059
6,420 Main St,Houston,Georgia's Market,29.760943,-95.361855,29.417371,-98.49596
7,1301 Fannin St,Houston,Atlantic Trading,29.753815,-95.366093,29.431552,-98.508992
8,1200 McKinney St,Houston,The Herb Shop,29.755387,-95.362344,29.419101,-98.510558
9,1201 Holly St,Houston,Eaton Manufacturing,29.769852,-95.368691,29.439531,-98.503159
10,1019 Andrews St,Houston,Song Huan Xu,29.755806,-95.378559,29.409588,-98.48671
11,1409 Robin St,Houston,Waddys Grocery Store,29.756404,-95.381779,29.421008,-98.475538
12,2215 Washington Ave,Houston,Mid-Century Pavilion,29.768194,-95.381129,29.419321,-98.513081
13,2313 Bagby St,Houston,Midtown Food Store,29.750359,-95.377756,29.439941,-98.505543
14,2225 Louisiana St,Houston,Randalls,29.749007,-95.375051,29.442395,-98.486014
15,2305 Center St,Houston,Long Life Natural Center,29.76904,-95.381937,29.420431,-98.472994
16,2004 Houston Ave,Houston,Oscar Food Mart,29.775562,-95.37242,29.444527,-98.491846
17,2018 Rusk St,Houston,Epicurean Express Market,29.75275,-95.354281,29.420528,-98.516423
18,1505 Sawyer St,Houston,Itc International,29.771703,-95.382774,29.410131,-98.510022
19,101 Chartres St,Houston,Idf,29.758193,-95.351244,29.418567,-98.516476
20,88 Dennis St,Houston,Lankford Grocery & Market,29.75015,-95.383722,29.413757,-98.514995
21,2202 Lamar St,Houston,Global Coffee Co,29.749641,-95.354627,29.41485,-98.473249
22,305 Tuam St,Houston,Sunny's Food Store,29.747109,-95.381549,29.439529,-98.474789
23,2110 Jefferson St,Houston,Double Nine Ginseng Herb,29.744938,-95.359634,29.417387,-98.519127
24,702 W Gray St,Houston,Shah Foodmart,29.753393,-95.389011,29.404926,-98.507867
25,2201 Jefferson St,Houston,A F Imports & Wholesale Co,29.744514,-95.358936,29.427642,-98.52148
26,2124 N Main St,Houston,North Main Nutrition Center,29.779422,-95.363204,29.40275,-98.503465
27,2902 Caroline St,Houston,Wonton Food Corporation,29.741561,-95.373286,29.440071,-98.516332
28,2604 Leeland St,Houston,Leeland's Wholesale Grocery & Restaurant Supply,29.743922,-95.354314,29.404235,-98.508773
29,803 Quitman St,Houston,Del's Icecream Shop,29.781457,-95.362032,29.438904,-98.471586
30,3400 Travis St,Houston,Thien Thao Chinese Herbs-Ginseng,29.740766,-95.379025,29.437542,-98.518929
31,3000 Hicks St,Houston,Grocers Supply Co,29.771582,-95.391223,29.40184,-98.503785
32,1906 Chapman St,Houston,Food City,29.778536,-95.353814,29.411437,-98.470257
33,2220 McGowen St,Houston,Charles Food Store,29.738913,-95.363308,29.427837,-98.523662
34,1707 Hardy St,Houston,Wong Food Market,29.776852,-95.351351,29.446151,-98.475705
35,1020 Quitman St,Houston,Fiesta Mart,29.78212,-95.36016,29.398687,-98.498695
36,2601 N Main St,Houston,Falcon Drive In Grocery,29.783509,-95.36518,29.430556,-98.526642
37,1324 W Clay St,Houston,Chocolates El Rey,29.755361,-95.39693,29.430736,-98.526622
38,2519 McGowen St,Houston,McGowen Food Store,29.737271,-95.3606,29.423067,-98.527589
39,3321 Stanford St,Houston,First Stop Food Store,29.742638,-95.388938,29.422801,-98.527624
40,2218 Chapman St,Houston,Tommy Food Market,29.781596,-95.353859,29.420642,-98.527903
41,701 Waugh Dr,Houston,Whole Foods Market,29.758447,-95.398143,29.408371,-98.522395
42,3803 San Jacinto St,Houston,King Fuels Food Store 4,29.736635,-95.378455,29.429953,-98.461051
43,2618 McGowen St,Houston,Community Food Store,29.736756,-95.359738,29.39917,-98.512831
44,303 Bayland Ave,Houston,First Stop Food Store,29.786768,-95.374365,29.394331,-98.499458
45,677 Woodland St,Houston,Orange Leaf Frozen Yogurt,29.786006,-95.378976,29.441477,-98.525357
46,3407 Montrose Blvd,Houston,Tutti Frutti Frozen Yogurt,29.742012,-95.391232,29.395288,-98.481509
47,1620 Quitman St,Houston,Sunny Food Store,29.783357,-95.351681,29.440841,-98.526611
48,709 W Alabama St,Houston,Sun Food Marts,29.738813,-95.388242,29.412949,-98.528901
49,2920 White Oak Dr,Houston,Lucky Food Store,29.781577,-95.39033,29.43115,-98.53117
50,2502 Hardy St,Houston,R & V Food Store,29.784471,-95.351533,29.420055,-98.532835
51,413 Jackson Hill St,Houston,Jacksonhill Food Market,29.765179,-95.401791,29.456615,-98.479581
52,735 Studewood St,Houston,Woods Food Mart,29.784568,-95.387744,29.396068,-98.473486
53,2720 Chapman St,Houston,Luzon Food Mart,29.786176,-95.353944,29.402085,-98.524438
54,4200 San Jacinto St,Houston,Fiesta Mart,29.73343,-95.381043,29.40162,-98.524087
55,1412 Westheimer Rd,Houston,Mazatec Garden,29.743117,-95.396395,29.43043,-98.4549
56,3227 McGowen St,Houston,John's Washateria & Food Mart,29.734384,-95.353952,29.390893,-98.503897
57,3015 Sauer St,Houston,Lim Eddy Market,29.732439,-95.359039,29.390637,-98.486239
58,1612 Scott St,Houston,Sundial Mini Mart,29.738848,-95.346095,29.404695,-98.527454
59,3510 Leeland St,Houston,Cuz-N-Laws Wholesale Food & Paper Goods District Co,29.739124,-95.345403,29.453995,-98.470666
60,3939 Montrose Blvd,Houston,Sweet Cup,29.737217,-95.391171,29.404579,-98.461246
